t,sim_time,fps,dt_max,hic,n
1790310705.012,1.5000,0.0,0.0000,0,0
1790310705.106,1.6000,41.7,0.0250,0,4
1790310705.208,1.7000,40.4,0.0260,0,4
1790310705.405,1.9000,36.1,0.0350,0,7
1790310705.502,2.0000,40.4,0.0280,0,4
1790310705.708,2.2000,43.1,0.0270,0,9
1790310705.801,2.3000,43.5,0.0240,0,4
1790310706.013,2.5000,42.5,0.0260,0,9
1790310706.105,2.6000,43.5,0.0240,0,4
1790310706.514,3.0000,41.6,0.0270,0,17
1790310706.605,3.1000,44.0,0.0240,0,4
1790310706.805,3.3000,44.8,0.0240,0,9
1790310706.900,3.4000,43.5,0.0250,0,4
1790310707.009,3.5000,44.2,0.0260,0,5
1790310707.109,3.6000,34.5,0.0330,0,3
1790310708.118,4.6000,28.7,0.0510,1,29
1790310708.321,4.8000,25.3,0.0500,0,5
1790310708.425,4.9000,28.3,0.0370,0,3
1790310708.528,5.0000,29.1,0.0370,0,3
1790310709.329,5.8000,27.7,0.0540,1,22
1790310709.433,5.9000,27.3,0.0410,0,3
1790310709.930,6.4000,28.5,0.0470,0,14
1790310710.526,7.0000,28.7,0.0430,0,17
1790310710.633,7.1000,26.1,0.0450,0,3
1790310710.936,7.4000,26.6,0.0430,0,8
1790310711.029,7.5000,22.7,0.0460,0,2
1790310711.533,8.0000,27.5,0.0430,0,14
1790310711.626,8.1000,23.0,0.0480,0,2
1790310711.731,8.2000,26.5,0.0450,0,3
1790310712.134,8.6000,27.4,0.0470,0,11
1790310712.527,9.0000,28.5,0.0410,0,11
1790310712.631,9.1000,26.8,0.0440,0,3
1790310712.931,9.4000,26.6,0.0450,0,8
1790310713.346,9.8000,24.2,0.0590,2,10
1790310713.548,10.0000,24.9,0.0450,0,5
1790310713.747,10.2000,25.3,0.0440,0,5
1790310714.046,10.5000,24.0,0.0460,0,7
1790310714.355,10.8000,22.2,0.0520,1,7
1790310714.447,10.9000,23.5,0.0440,0,2
1790310714.647,11.1000,24.9,0.0470,0,5
1790310714.848,11.3000,23.8,0.0480,0,5
1790310715.050,11.5000,24.6,0.0460,0,5
1790310715.350,11.8000,24.4,0.0460,0,7
1790310715.752,12.2000,24.2,0.0490,0,10
1790310715.846,12.3000,23.5,0.0450,0,2
1790310716.152,12.6000,22.3,0.0500,0,7
1790310716.248,12.7000,23.5,0.0460,0,2
1790310716.678,13.1000,21.4,0.0590,3,9
1790310716.878,13.3000,22.5,0.0600,1,5
1790310717.159,13.6000,27.0,0.0490,0,8
1790310717.255,13.7000,42.1,0.0250,0,4
1790310717.357,13.8000,39.6,0.0280,0,4
1790310717.452,13.9000,41.2,0.0300,0,4
1790310717.559,14.0000,46.3,0.0240,0,5
1790310717.761,14.2000,44.8,0.0240,0,9
1790310717.950,14.4000,47.4,0.0240,0,9
1790310718.060,14.5000,45.0,0.0230,0,5
1790310718.257,14.7000,45.9,0.0230,0,9
1790310718.355,14.8000,42.1,0.0250,0,4
1790310718.554,15.0000,44.8,0.0250,0,9
1790310718.656,15.1000,38.5,0.0300,0,4
1790310718.857,15.3000,44.8,0.0240,0,9
1790310719.053,15.5000,46.2,0.0230,0,9
1790310719.162,15.6000,46.3,0.0230,0,5
1790310719.254,15.7000,43.5,0.0240,0,4
1790310719.458,15.9000,43.9,0.0250,0,9
1790310719.565,16.0000,46.7,0.0230,0,5
1790310719.654,16.1000,44.4,0.0240,0,4
1790310719.865,16.3000,42.9,0.0250,0,9
1790310719.958,16.4000,43.5,0.0240,0,4
1790310720.054,16.5000,41.2,0.0270,0,4
1790310720.257,16.7000,44.3,0.0270,0,9
1790310720.456,16.9000,45.2,0.0280,0,9
1790310720.555,17.0000,40.4,0.0290,0,4
1790310720.664,17.1000,45.5,0.0230,0,5
1790310720.753,17.2000,45.5,0.0240,0,4
1790310720.954,17.4000,44.6,0.0260,0,9
