t,raw_dt,draw_dt,sim_before,sim_after,advance,acc_after
1790366148.257,0.0290,0.0290,2.8000,2.8167,0.0167,0.0163
1790366148.283,0.0250,0.0250,2.8167,2.8500,0.0333,0.0080
1790366148.315,0.0320,0.0320,2.8500,2.8833,0.0333,0.0067
1790366148.339,0.0250,0.0250,2.8833,2.9000,0.0167,0.0150
1790366148.365,0.0230,0.0230,2.9000,2.9333,0.0333,0.0047
1790366148.398,0.0340,0.0340,2.9333,2.9667,0.0333,0.0053
1790366148.421,0.0250,0.0250,2.9667,2.9833,0.0167,0.0137
1790366148.444,0.0220,0.0220,2.9833,3.0167,0.0333,0.0023
1790366148.476,0.0310,0.0310,3.0167,3.0500,0.0333,0.0000
1790366148.504,0.0300,0.0300,3.0500,3.0667,0.0167,0.0133
1790366148.533,0.0260,0.0260,3.0667,3.1000,0.0333,0.0060
1790366148.563,0.0320,0.0320,3.1000,3.1333,0.0333,0.0047
1790366148.587,0.0240,0.0240,3.1333,3.1500,0.0167,0.0120
1790366148.612,0.0240,0.0240,3.1500,3.1833,0.0333,0.0027
1790366148.641,0.0300,0.0300,3.1833,3.2000,0.0167,0.0160
1790366148.673,0.0290,0.0290,3.2000,3.2333,0.0333,0.0117
1790366148.701,0.0290,0.0290,3.2333,3.2667,0.0333,0.0073
1790366148.728,0.0280,0.0280,3.2667,3.3000,0.0333,0.0020
1790366148.760,0.0320,0.0320,3.3000,3.3333,0.0333,0.0007
1790366148.791,0.0310,0.0310,3.3333,3.3500,0.0167,0.0150
1790366148.818,0.0260,0.0260,3.3500,3.3833,0.0333,0.0077
1790366148.841,0.0250,0.0250,3.3833,3.4000,0.0167,0.0160
1790366148.866,0.0240,0.0240,3.4000,3.4333,0.0333,0.0067
1790366148.887,0.0220,0.0220,3.4333,3.4500,0.0167,0.0120
1790366148.911,0.0230,0.0230,3.4500,3.4833,0.0333,0.0017
1790366148.934,0.0250,0.0250,3.4833,3.5000,0.0167,0.0100
1790366148.963,0.0220,0.0220,3.5000,3.5167,0.0167,0.0153
1790366148.996,0.0280,0.0280,3.5167,3.5500,0.0333,0.0100
1790366149.027,0.0320,0.0320,3.5500,3.5833,0.0333,0.0087
1790366149.057,0.0300,0.0300,3.5833,3.6167,0.0333,0.0053
1790366149.087,0.0300,0.0300,3.6167,3.6500,0.0333,0.0020
1790366149.118,0.0320,0.0320,3.6500,3.6833,0.0333,0.0007
1790366149.144,0.0310,0.0310,3.6833,3.7000,0.0167,0.0150
1790366149.175,0.0250,0.0250,3.7000,3.7333,0.0333,0.0067
1790366149.205,0.0310,0.0310,3.7333,3.7667,0.0333,0.0043
1790366149.237,0.0310,0.0310,3.7667,3.8000,0.0333,0.0020
1790366149.262,0.0310,0.0310,3.8000,3.8167,0.0167,0.0163
1790366149.295,0.0260,0.0260,3.8167,3.8500,0.0333,0.0090
1790366149.325,0.0320,0.0320,3.8500,3.8833,0.0333,0.0077
1790366149.361,0.0340,0.0340,3.8833,3.9167,0.0333,0.0083
1790366149.399,0.0330,0.0330,3.9167,3.9500,0.0333,0.0080
1790366149.440,0.0390,0.0390,3.9500,3.9833,0.0333,0.0137
1790366149.479,0.0390,0.0390,3.9833,4.0333,0.0500,0.0027
1790366149.511,0.0400,0.0400,4.0333,4.0667,0.0333,0.0093
1790366149.541,0.0300,0.0300,4.0667,4.1000,0.0333,0.0060
