t,snap_px,input,delay,jitter_ema,buf_depth,newest_stamp,render_t,host_time_est
1790228735.081,0.000,,0.3500,0.9149,6,0.5000,0.1333,-0.9589
1790228735.113,0.000,,0.3500,0.8715,7,0.6000,0.1667,0.0498
1790228735.226,0.000,,0.3500,1.0926,8,0.7000,0.2667,-0.8750
1790228735.307,0.000,,0.3500,1.2391,8,0.8000,0.3500,0.9000
1790228735.403,0.000,,0.3500,1.1690,8,0.9000,0.4500,1.0000
1790228735.707,0.000,S,0.3500,0.9789,8,1.2000,0.5667,1.0322
1790228735.804,0.800,S,0.3500,0.8071,8,1.3000,0.6667,1.2113
1790228736.028,0.533,,0.3500,0.9909,8,1.5000,0.9000,0.1261
1790228736.110,10.667,E,0.3500,1.2216,8,1.6000,0.9833,1.7000
1790228736.222,8.000,E,0.3500,1.1532,8,1.7000,1.1000,1.0054
1790228736.319,1.333,E+W,0.3500,0.9852,8,1.8000,1.2000,1.5597
1790228736.416,5.036,W,0.3500,0.8037,8,1.9000,1.3000,1.9737
1790228736.513,7.613,W,0.3500,0.6884,8,2.0000,1.4000,2.1000
1790228736.721,21.937,W,0.3500,0.6960,8,2.2000,1.6167,1.6307
1790228736.818,4.086,W,0.3500,0.5913,8,2.3000,1.7167,2.1733
1790228736.930,0.000,W,0.3500,0.8065,8,2.4000,1.8333,1.0774
1790228737.025,8.645,,0.3500,0.6899,8,2.5000,1.9333,2.3322
1790228737.122,42.020,,0.3500,0.6277,8,2.6000,2.0333,2.7000
1790228737.219,6.003,,0.3500,0.5913,8,2.7000,2.1333,2.8000
1790228737.525,36.017,Q,0.3500,0.5236,8,3.0000,2.3667,2.8079
1790228737.607,48.023,Q,0.3500,0.9820,8,3.1000,2.4500,3.2000
1790228737.720,36.017,Q,0.3500,0.9589,8,3.2000,2.5667,2.5166
1790228737.931,1.066,Q+W,0.3500,1.0347,8,3.4000,2.7833,2.3396
1790228738.010,39.441,W,0.3500,1.3423,8,3.5000,2.8667,3.6000
1790228738.537,29.160,,0.3500,1.0881,8,4.0000,3.1667,3.9514
1790228738.619,13.270,,0.3500,1.4527,8,4.1000,3.2500,4.2000
1790228738.732,10.448,,0.3500,1.4029,8,4.2000,3.3667,3.2461
1790228738.829,1.741,,0.3500,1.2249,8,4.3000,3.4667,3.9001
1790228738.924,1.852,W,0.3500,1.0168,8,4.4000,3.5667,4.2619
1790228739.021,2.378,W,0.3500,0.8495,8,4.5000,3.6667,4.3650
1790228739.117,1.679,E,0.3500,0.6824,8,4.6000,3.7667,4.5982
1790228739.228,1.956,E,0.3500,0.9432,8,4.7000,3.8833,3.1193
1790228739.326,2.694,E+S,0.3500,0.8905,8,4.8000,3.9833,4.2655
1790228739.535,1.488,S,0.3500,0.9212,8,5.0000,4.2000,4.1744
1790228739.633,0.744,S,0.3500,0.7614,8,5.1000,4.3000,5.0124
1790228739.825,2.531,,0.3500,0.6609,8,5.3000,4.5000,5.4000
1790228739.938,2.011,,0.3500,0.8398,8,5.4000,4.6167,4.1654
1790228740.130,0.335,,0.3500,0.6931,8,5.6000,4.8167,5.5248
1790228740.227,2.334,W,0.3500,0.6372,8,5.7000,4.9167,5.8000
1790228740.326,0.661,W,0.3500,0.6260,8,5.8000,5.0167,5.9000
1790228740.437,4.915,W,0.3500,0.8007,8,5.9000,5.1333,4.7088
