t,snap_px,input,delay,jitter_ema,buf_depth,newest_stamp,render_t,host_time_est
1790230385.169,0.000,,0.3500,0.9901,8,0.7000,0.2500,0.8000
1790230385.190,0.000,,0.3500,0.9373,8,0.8000,0.2667,0.9000
1790230385.319,0.000,,0.3500,1.3619,8,0.9000,0.3667,-1.5371
1790230385.403,0.000,,0.3500,1.3817,8,1.0000,0.4333,1.1000
1790230385.506,0.000,,0.3500,1.1297,8,1.1000,0.5167,1.2000
1790230385.607,0.000,,0.3500,0.9894,8,1.2000,0.6000,0.8693
1790230385.713,0.000,S,0.3500,0.9885,8,1.3000,0.6833,0.5261
1790230385.816,1.778,S,0.3500,0.9626,8,1.4000,0.7667,0.7253
1790230385.898,6.756,S,0.3500,1.2623,8,1.5000,0.8333,1.6000
1790230386.001,1.333,,0.3500,1.0808,8,1.6000,0.9167,1.7000
1790230386.147,9.244,E,0.3500,1.7516,8,1.7000,1.0333,-1.8365
1790230386.235,8.089,E,0.3500,1.5330,8,1.8000,1.1000,1.9000
1790230386.329,1.143,W,0.3500,1.4492,8,1.9000,1.1667,2.0000
1790230386.437,7.689,W,0.3500,1.2969,8,2.0000,1.2500,1.4625
1790230386.521,13.186,W,0.3500,1.6100,8,2.1000,1.3167,2.2000
1790230386.636,16.676,,0.3500,1.3994,8,2.2000,1.4000,1.7722
1790230386.728,18.535,,0.3500,1.1922,8,2.3000,1.4667,2.4000
1790230386.820,2.529,,0.3500,1.1896,8,2.4000,1.5333,2.5000
1790230386.939,17.704,,0.3500,1.4083,8,2.5000,1.6167,0.6857
1790230387.067,0.000,Q,0.3500,1.8725,8,2.6000,1.7000,-0.3687
1790230387.175,2.529,Q,0.3500,2.0173,8,2.7000,1.7833,0.6362
1790230387.267,17.704,Q,0.3500,1.8380,8,2.8000,1.8500,2.9000
1790230387.378,15.175,Q,0.3500,1.6183,8,2.9000,1.9333,2.3216
1790230387.483,0.000,Q,0.3500,1.4092,8,3.0000,2.0167,2.5551
1790230387.577,17.704,Q,0.3500,1.5581,8,3.1000,2.0833,3.2000
1790230387.670,2.529,Q,0.3500,1.6800,8,3.2000,2.1500,3.3000
1790230387.761,2.529,,0.3500,1.8728,8,3.3000,2.2167,3.4000
1790230387.872,15.175,,0.3500,1.6655,8,3.4000,2.3000,2.7447
1790230387.982,0.533,W,0.3500,1.7398,8,3.5000,2.3833,1.8825
1790230388.026,22.339,W,0.3500,2.7311,8,3.6000,2.4167,3.7000
1790230388.134,2.667,,0.3500,2.4290,8,3.7000,2.5000,3.8000
1790230388.238,11.774,,0.3500,2.1105,8,3.8000,2.5833,3.1450
1790230388.349,0.000,,0.3500,2.1324,8,3.9000,2.6667,2.1385
1790230388.431,8.328,,0.3500,2.0322,8,4.0000,2.7333,4.1000
1790230388.520,1.190,,0.3500,2.1060,8,4.1000,2.8000,4.2000
1790230388.611,2.610,W,0.3500,2.0277,8,4.2000,2.8667,4.3000
1790230388.730,10.571,W,0.3500,2.1853,8,4.3000,2.9667,2.0590
1790230388.818,15.966,W,0.3500,1.9317,8,4.4000,3.0333,4.5000
1790230388.921,20.226,W,0.3500,1.7849,8,4.5000,3.1167,3.5549
1790230389.010,30.240,W,0.3500,1.6275,8,4.6000,3.1833,4.7000
1790230389.125,37.744,,0.3500,1.7798,8,4.7000,3.2667,2.8016
1790230389.208,42.761,,0.3500,1.7241,8,4.8000,3.3333,4.9000
1790230389.313,31.152,E,0.3500,1.4399,8,4.9000,3.4167,4.6728
1790230389.421,0.000,E,0.3500,1.5446,8,5.0000,3.5000,3.4429
1790230389.512,36.344,E,0.3500,1.4236,8,5.1000,3.5667,5.2000
1790230389.625,31.152,E,0.3500,1.5611,8,5.2000,3.6500,3.5247
1790230389.710,36.344,E,0.3500,1.5334,8,5.3000,3.7167,5.4000
1790230389.825,31.152,E,0.3500,1.5511,8,5.4000,3.8000,4.1170
1790230389.913,36.344,E,0.3500,1.3721,8,5.5000,3.8667,5.6000
1790230390.035,36.344,E,0.3500,1.6704,8,5.6000,3.9667,3.3212
1790230390.126,32.678,E+W,0.3500,1.5333,8,5.7000,4.0333,5.8000
1790230390.222,11.841,W,0.3500,1.3802,8,5.8000,4.1000,5.9000
1790230390.309,2.882,W,0.3500,1.5585,8,5.9000,4.1667,6.0000
1790230390.434,15.198,W,0.3500,1.8028,8,6.0000,4.2667,3.7889
1790230390.540,0.000,W,0.3500,1.8148,8,6.1000,4.3500,4.6242
1790230390.646,0.000,W,0.3500,1.7715,8,6.2000,4.4333,4.9347
1790230390.730,6.169,W,0.3500,1.9425,8,6.3000,4.5000,6.4000
1790230390.834,4.733,W,0.3500,1.5722,8,6.4000,4.5833,6.4856
1790230390.964,14.942,W,0.3500,1.9669,8,6.5000,4.6833,3.6766
1790230391.044,28.383,W,0.3500,2.0611,8,6.6000,4.7500,6.7000
1790230391.147,1.067,,0.3500,1.7919,8,6.7000,4.8333,6.8000
1790230391.290,33.504,,0.3500,2.3720,8,6.8000,4.9500,3.0578
1790230391.341,52.988,,0.3500,3.2478,8,6.9000,4.9833,7.0000
1790230391.451,0.000,,0.3500,2.7446,8,7.0000,5.0667,7.1000
1790230391.548,5.299,,0.3500,2.2977,8,7.1000,5.1333,7.2000
1790230391.710,47.690,E,0.3500,3.1241,8,7.2000,5.2333,2.0669
1790230391.824,0.000,E,0.3500,3.3305,8,7.3000,5.3167,3.9870
1790230391.874,47.690,E,0.3500,4.1389,8,7.4000,5.3500,7.5000
1790230391.919,21.195,E,0.3500,5.5592,8,7.5000,5.3833,7.6000
1790230392.026,0.000,E,0.3500,4.8428,8,7.6000,5.4667,7.7000
1790230392.110,5.299,E,0.3500,4.4471,8,7.7000,5.5333,7.8000
1790230392.218,31.793,E,0.3500,3.9335,8,7.8000,5.6167,6.3104
1790230392.325,2.141,W,0.3500,3.7786,8,7.9000,5.7000,5.3877
1790230392.411,27.671,W,0.3500,3.1846,8,8.0000,5.7667,8.1000
1790230392.504,3.350,W,0.3500,2.5834,8,8.1000,5.8333,8.2000
1790230392.595,3.321,W,0.3500,2.2085,8,8.2000,5.9000,8.3000
1790230392.710,20.758,W,0.3500,2.3912,8,8.3000,5.9833,5.8190
1790230392.820,3.699,W,0.3500,2.7293,8,8.4000,6.0667,5.1477
1790230392.904,31.698,W,0.3500,2.3420,8,8.5000,6.1333,8.6000
1790230392.992,3.293,,0.3500,2.3144,8,8.6000,6.2000,8.7000
1790230393.103,27.913,,0.3500,2.2506,8,8.7000,6.2833,7.1179
1790230393.211,1.131,B,0.3500,2.2952,8,8.8000,6.3667,6.8363
1790230393.298,23.766,B,0.3500,2.0202,8,8.9000,6.4333,9.0000
1790230393.404,15.474,B,0.3500,1.8783,8,9.0000,6.5167,7.9652
1790230393.613,11.426,B,0.3500,3.4913,8,9.1000,6.6833,1.1551
1790230393.637,17.668,B,0.3500,3.8648,8,9.2000,6.7000,9.3000
1790230393.723,2.038,,0.3500,4.0574,8,9.3000,6.7667,9.4000
1790230393.826,2.404,E,0.3500,3.3806,8,9.4000,6.8500,9.5000
1790230393.909,1.998,E,0.3500,3.4336,8,9.5000,6.9167,9.6000
1790230394.021,5.995,E,0.3500,3.0052,8,9.6000,7.0000,8.5808
1790230394.108,6.994,E,0.3500,2.7313,8,9.7000,7.0667,9.8000
1790230394.238,6.994,W,0.3500,3.0309,8,9.8000,7.1667,6.4325
1790230394.334,3.193,W,0.3500,2.5042,8,9.9000,7.2333,9.6034
1790230394.443,0.000,W,0.3500,2.5866,8,10.0000,7.3167,7.6813
1790230394.550,1.778,,0.3500,2.5636,8,10.1000,7.4000,8.1357
1790230394.660,1.067,E,0.3500,2.4286,8,10.2000,7.4833,8.7069
1790230394.731,14.155,E,0.3500,3.2567,8,10.3000,7.5333,10.4000
1790230394.842,0.000,E,0.3500,2.6456,8,10.4000,7.6167,10.5000
1790230394.952,10.616,,0.3500,2.5039,8,10.5000,7.7000,8.9669
1790230395.039,12.386,,0.3500,2.2624,8,10.6000,7.7667,10.7000
1790230395.142,10.616,E,0.3500,1.8389,8,10.7000,7.8500,10.5991
1790230395.273,1.769,E,0.3500,2.4050,8,10.8000,7.9500,7.0778
1790230395.316,17.694,E,0.3500,3.4174,8,10.9000,7.9833,11.0000
1790230395.513,19.463,,0.3500,4.0335,8,11.0000,8.1500,5.8129
1790230395.538,19.463,,0.3500,4.5651,8,11.1000,8.1667,11.2000
1790230395.663,12.386,,0.3500,3.9950,8,11.2000,8.2667,9.8422
1790230395.822,5.308,,0.3500,4.8027,8,11.3000,8.4000,4.8843
1790230395.845,19.463,,0.3500,5.1350,8,11.4000,8.4167,11.5000
1790230395.948,0.000,,0.3500,4.4658,8,11.5000,8.5000,11.6000
1790230396.009,5.308,,0.3500,5.4960,8,11.6000,8.5500,11.7000
1790230396.139,12.386,,0.3500,4.7479,8,11.7000,8.6500,10.3088
1790230396.241,1.769,,0.3500,4.1845,8,11.8000,8.7333,10.2708
1790230396.342,0.000,E,0.3500,3.7830,8,11.9000,8.8167,10.1724
1790230396.449,0.000,E,0.3500,3.6109,8,12.0000,8.9000,9.6753
1790230396.536,10.266,E+W,0.3500,3.1664,8,12.1000,8.9667,12.2000
1790230396.697,2.813,W,0.3500,4.0037,8,12.2000,9.1000,6.3286
1790230396.743,6.061,W,0.3500,4.5339,8,12.3000,9.1333,12.4000
1790230396.851,2.120,W,0.3500,3.6957,8,12.4000,9.2167,12.5000
1790230396.935,3.396,W,0.3500,3.5344,8,12.5000,9.2833,12.6000
1790230397.038,24.086,W,0.3500,2.9269,8,12.6000,9.3667,12.2160
1790230397.146,0.000,,0.3500,2.7723,8,12.7000,9.4500,10.9926
1790230397.330,18.569,E,0.3500,4.2984,8,12.8000,9.6000,4.4877
1790230397.411,44.158,E,0.3500,3.5998,8,12.9000,9.6667,13.0000
1790230397.476,16.559,E,0.3500,4.9535,8,13.0000,9.7167,13.1000
1790230397.570,5.520,E,0.3500,4.9001,8,13.1000,9.7833,13.2000
1790230397.618,22.079,E,0.3500,6.0032,8,13.2000,9.8167,13.3000
1790230397.748,38.638,E,0.3500,5.3380,8,13.3000,9.9167,11.1739
1790230397.851,0.178,E+W,0.3500,5.0645,8,13.4000,10.0000,10.2376
1790230398.004,37.150,W,0.3500,5.9366,8,13.5000,10.1167,5.9769
1790230398.029,27.175,W,0.3500,5.8360,8,13.6000,10.1333,13.7000
1790230398.120,27.295,W,0.3500,5.2114,8,13.7000,10.2000,13.8000
1790230398.221,65.146,W,0.3500,4.3198,8,13.8000,10.2833,13.2098
1790230398.321,32.643,W,0.3500,3.7919,8,13.9000,10.3667,12.5681
1790230398.400,10.854,W,0.3500,3.7129,8,14.0000,10.4333,14.1000
1790230398.501,59.699,,0.3500,3.0492,8,14.1000,10.5167,13.7960
1790230398.625,33.118,,0.3500,3.3250,8,14.2000,10.6167,10.6770
1790230398.767,49.678,E,0.3500,4.5435,8,14.3000,10.7333,6.7758
1790230399.011,77.276,,0.3500,6.7688,8,14.4000,10.9333,1.8726
1790230399.032,27.599,,0.3500,6.4775,8,14.5000,10.9500,14.6000
1790230399.175,77.276,,0.3500,5.7382,8,14.6000,11.0667,12.3887
1790230399.220,22.079,,0.3500,6.6441,8,14.7000,11.1000,14.8000
1790230399.242,5.520,,0.3500,8.1998,8,14.8000,11.1167,14.9000
1790230399.323,22.079,,0.3500,8.4779,8,14.9000,11.1833,15.0000
1790230399.425,33.118,,0.3500,7.0240,8,15.0000,11.2667,15.1000
1790230399.523,60.717,,0.3500,5.8676,8,15.1000,11.3500,14.1217
1790230399.624,33.118,,0.3500,5.3209,8,15.2000,11.4333,12.7071
1790230399.726,33.118,,0.3500,4.9728,8,15.3000,11.5167,12.4488
1790230399.819,27.599,,0.3500,4.2685,8,15.4000,11.5833,14.2525
1790230399.903,5.520,,0.3500,3.7992,8,15.5000,11.6500,15.6000
1790230400.032,71.757,,0.3500,4.1369,8,15.6000,11.7500,11.2239
1790230400.119,27.599,,0.3500,3.3965,8,15.7000,11.8167,15.3667
1790230400.223,33.118,,0.3500,3.1162,8,15.8000,11.9000,14.2170
1790230400.328,33.118,,0.3500,3.0154,8,15.9000,11.9833,13.8240
1790230400.438,33.118,,0.3500,3.0425,8,16.0000,12.0667,13.4937
1790230400.529,5.520,,0.3500,2.4971,8,16.1000,12.1333,16.2000
1790230400.632,66.237,,0.3500,2.1496,8,16.2000,12.2167,15.6064
1790230400.735,33.118,,0.3500,1.9026,8,16.3000,12.3000,15.5820
1790230400.834,33.118,,0.3500,1.6167,8,16.4000,12.3833,16.0346
1790230400.939,33.118,,0.3500,1.5441,8,16.5000,12.4667,15.5106
1790230400.999,16.559,,0.3500,3.2656,8,16.6000,12.5167,16.7000
1790230401.119,71.757,,0.3500,2.6968,8,16.7000,12.6167,16.3752
1790230401.218,33.118,,0.3500,2.3305,8,16.8000,12.7000,16.1210
1790230401.320,33.118,,0.3500,2.1410,8,16.9000,12.7833,15.8066
1790230401.401,11.039,,0.3500,2.4669,8,17.0000,12.8500,17.1000
1790230401.502,33.118,,0.3500,2.0190,8,17.1000,12.9333,17.2000
1790230401.624,71.757,,0.3500,2.5888,8,17.2000,13.0333,13.3167
1790230401.724,27.599,,0.3500,2.5376,8,17.3000,13.1167,15.4467
1790230401.824,33.118,,0.3500,2.3329,8,17.4000,13.2000,16.2004
1790230401.925,33.118,,0.3500,2.0734,8,17.5000,13.2833,16.6847
1790230402.028,33.118,,0.3500,1.8487,8,17.6000,13.3667,16.8547
1790230402.138,33.118,,0.3500,1.9527,8,17.7000,13.4500,15.8183
1790230402.221,5.520,,0.3500,2.2471,8,17.8000,13.5167,17.9000
1790230402.322,33.118,,0.3500,2.0045,8,17.9000,13.6000,18.0000
1790230402.426,66.237,,0.3500,1.7339,8,18.0000,13.6833,17.4917
1790230402.543,33.118,,0.3500,1.9750,8,18.1000,13.7667,15.7643
1790230402.642,27.599,,0.3500,1.7875,8,18.2000,13.8333,17.3847
1790230402.724,5.520,,0.3500,2.3627,8,18.3000,13.9000,18.4000
1790230402.844,71.757,,0.3500,2.3571,8,18.4000,14.0000,16.5450
1790230403.010,49.678,,0.3500,3.8264,8,18.5000,14.1333,10.7481
1790230403.038,27.599,,0.3500,4.6991,8,18.6000,14.1500,18.7000
1790230403.117,22.079,,0.3500,5.4904,8,18.7000,14.2000,18.8000
1790230403.206,27.599,,0.3500,5.4383,8,18.8000,14.2667,18.9000
1790230403.315,66.237,,0.3500,4.4314,8,18.9000,14.3500,18.5946
1790230403.422,33.118,,0.3500,4.2229,8,19.0000,14.4333,16.3024
