t,snap_px,input,delay,jitter_ema,buf_depth,newest_stamp,render_t,host_time_est
1790276617.484,20.362,,0.1987,0.0493,8,11.5000,11.1984,11.5409
1790276617.527,15.271,,0.1886,0.0443,8,11.6000,11.2394,11.6189
1790276617.636,0.000,,0.1898,0.0449,8,11.7000,11.3484,11.7159
1790276617.723,10.181,,0.1732,0.0360,8,11.8000,11.4364,11.8159
1790276617.866,11.743,W,0.1816,0.0408,8,11.9000,11.5774,11.9129
1790276617.948,11.189,W,0.1750,0.0375,8,12.0000,11.6594,12.0150
1790276618.051,0.000,W,0.1641,0.0321,8,12.1000,11.7624,12.1143
1790276618.215,17.376,Q,0.1787,0.0393,8,12.2000,11.9274,12.2106
1790276618.259,26.393,Q,0.1893,0.0446,8,12.3000,11.9694,12.3174
1790276618.384,6.598,,0.1902,0.0451,8,12.4000,12.0964,12.4136
1790276618.428,26.393,,0.1954,0.0477,8,12.5000,12.1394,12.5185
1790276618.541,0.000,,0.1917,0.0459,8,12.6000,12.2514,12.6170
1790276618.655,0.000,Q,0.1819,0.0410,8,12.7000,12.3654,12.7155
1790276618.775,6.598,Q,0.1714,0.0357,8,12.8000,12.4834,12.8164
1790276618.865,6.598,Q,0.1633,0.0316,8,12.9000,12.5764,12.9149
1790276619.027,19.794,Q,0.1749,0.0375,8,13.0000,12.7384,13.0121
1790276619.114,6.667,W,0.1719,0.0360,8,13.1000,12.8254,13.1147
1790276619.140,33.032,W,0.1886,0.0445,8,13.2000,12.8474,13.2223
1790276619.235,6.532,,0.1797,0.0399,8,13.3000,12.9454,13.3169
1790276619.323,5.964,,0.1640,0.0320,8,13.4000,13.0344,13.4169
1790276619.434,0.000,Q,0.1607,0.0304,8,13.5000,13.1444,13.5163
1790276619.520,6.273,Q+W,0.1528,0.0264,8,13.6000,13.2324,13.6151
1790276619.602,6.950,Q+W,0.1469,0.0234,8,13.7000,13.3144,13.7161
1790276619.706,0.000,Q+W,0.1444,0.0222,8,13.8000,13.4164,13.8170
1790276619.818,0.085,W,0.1436,0.0218,8,13.9000,13.5294,13.9136
1790276619.931,0.000,W,0.1389,0.0195,8,14.0000,13.6424,14.0130
1790276620.020,3.974,W,0.1384,0.0192,8,14.1000,13.7304,14.1155
1790276620.109,3.485,W,0.1340,0.0170,8,14.2000,13.8194,14.2162
1790276620.219,0.000,W,0.1346,0.0173,8,14.3000,13.9294,14.3149
1790276620.311,2.561,W,0.1319,0.0160,8,14.4000,14.0194,14.4189
1790276620.441,2.281,,0.1403,0.0201,8,14.5000,14.1494,14.5173
1790276620.534,0.978,E,0.1372,0.0186,8,14.6000,14.2454,14.6146
1790276620.638,0.000,E,0.1308,0.0154,8,14.7000,14.3494,14.7145
1790276620.743,0.000,E,0.1251,0.0126,8,14.8000,14.4544,14.8134
1790276620.951,12.152,,0.1418,0.0293,8,14.9000,14.6604,14.9116
1790276621.013,6.165,B,0.1684,0.0342,8,15.0000,14.7244,15.0156
1790276621.058,8.368,B,0.1756,0.0378,8,15.1000,14.7674,15.1209
1790276621.146,1.942,,0.1665,0.0332,8,15.2000,14.8554,15.2195
1790276621.236,0.448,,0.1576,0.0288,8,15.3000,14.9464,15.3174
1790276621.348,0.000,,0.1571,0.0286,8,15.4000,15.0564,15.4186
1790276621.441,2.250,W,0.1468,0.0234,8,15.5000,15.1504,15.5178
1790276621.535,0.828,W,0.1376,0.0188,8,15.6000,15.2454,15.6168
1790276621.624,0.295,W,0.1322,0.0161,8,15.7000,15.3354,15.7162
1790276621.710,0.240,W,0.1286,0.0143,8,15.8000,15.4214,15.8168
1790276621.838,0.595,SPACE,0.1399,0.0199,8,15.9000,15.5484,15.9143
1790276621.926,1.306,SPACE,0.1379,0.0190,8,16.0000,15.6374,16.0145
1790276622.039,0.000,SPACE,0.1365,0.0182,8,16.1000,15.7484,16.1155
