t,snap_px,input,delay,jitter_ema,buf_depth,newest_stamp,render_t,host_time_est
1790276436.876,0.000,,0.1177,0.0089,8,2.4000,2.0107,2.4421
1790276437.057,0.000,,0.1216,0.0108,8,2.6000,2.1907,2.6088
1790276437.155,0.000,,0.1196,0.0098,8,2.7000,2.2867,2.7091
1790276437.266,0.000,,0.1210,0.0105,8,2.8000,2.3987,2.8076
1790276437.458,0.000,,0.1233,0.0116,8,3.0000,2.5917,3.0089
1790276437.651,0.000,,0.1218,0.0109,8,3.2000,2.7847,3.2081
1790276437.844,0.000,,0.1187,0.0093,8,3.4000,2.9787,3.4082
1790276438.012,0.000,,0.1294,0.0147,8,3.5000,3.1097,3.5382
1790276438.152,0.000,,0.1421,0.0210,8,3.7000,3.2827,3.7082
1790276438.248,0.000,,0.1344,0.0172,8,3.8000,3.3787,3.8083
1790276438.438,0.000,,0.1283,0.0142,8,4.0000,3.5707,4.0083
1790276438.552,0.000,,0.1295,0.0148,8,4.1000,3.6837,4.1086
1790276438.746,0.000,,0.1290,0.0145,8,4.3000,3.8777,4.3090
1790276439.051,0.000,,0.1247,0.0124,8,4.6000,4.1827,4.6079
1790276439.354,0.000,,0.1198,0.0099,8,4.9000,4.4857,4.9079
1790276439.562,0.000,,0.1186,0.0093,8,5.1000,4.6947,5.1068
1790276439.658,0.000,,0.1175,0.0088,8,5.2000,4.7907,5.2071
1790276439.851,0.000,,0.1166,0.0083,8,5.4000,4.9827,5.4092
1790276440.063,0.000,,0.1198,0.0099,8,5.6000,5.1937,5.6089
1790276440.145,0.000,,0.1239,0.0119,8,5.7000,5.2747,5.7111
1790276440.256,0.000,,0.1288,0.0144,8,5.8000,5.3867,5.8080
1790276440.352,0.000,,0.1242,0.0121,8,5.9000,5.4837,5.9081
1790276440.544,0.000,,0.1213,0.0107,8,6.1000,5.6757,6.1082
1790276440.753,0.000,,0.1235,0.0117,8,6.3000,5.8857,6.3079
1790276440.945,0.000,,0.1227,0.0114,8,6.5000,6.0777,6.5071
1790276441.154,0.000,,0.1227,0.0114,8,6.7000,6.2857,6.7069
1790276441.360,0.000,,0.1189,0.0094,8,6.9000,6.4897,6.9089
1790276441.457,0.000,,0.1165,0.0082,8,7.0000,6.5877,7.0090
1790276441.645,0.000,,0.1178,0.0089,8,7.2000,6.7757,7.2093
1790276441.855,0.000,,0.1202,0.0101,8,7.4000,6.9837,7.4120
1790276442.687,9.364,W,0.1289,0.0144,8,8.2000,7.2958,8.2088
1790276442.768,3.997,W,0.1314,0.0157,8,8.3000,7.3768,8.3111
1790276442.881,0.000,W,0.1347,0.0173,8,8.4000,7.4888,8.4110
1790276442.976,2.879,W,0.1294,0.0147,8,8.5000,7.5848,8.5092
1790276443.684,9.882,SPACE,0.1325,0.0163,8,9.2000,8.2928,9.2090
1790276443.781,3.404,SPACE,0.1275,0.0137,8,9.3000,8.3888,9.3102
1790276444.085,0.000,Q+SPACE,0.1264,0.0132,8,9.6000,8.6928,9.6101
1790276444.445,3.624,,0.1430,0.0229,8,9.9000,9.0528,9.9101
1790276444.691,4.919,,0.1625,0.0335,8,10.2000,9.2968,10.2140
1790276444.785,2.460,,0.1548,0.0274,8,10.3000,9.3928,10.3116
1790276444.881,2.460,,0.1445,0.0222,8,10.4000,9.4888,10.4115
1790276444.993,0.000,,0.1426,0.0213,8,10.5000,9.6008,10.5107
1790276445.187,2.460,,0.1391,0.0196,8,10.7000,9.7938,10.7110
1790276445.297,2.460,,0.1351,0.0175,8,10.8000,9.9028,10.8115
1790276446.000,6.825,,0.1368,0.0184,8,11.5000,10.6088,11.5098
1790276446.080,0.794,,0.1382,0.0191,8,11.6000,10.6888,11.6100
1790276446.194,0.000,,0.1400,0.0200,8,11.7000,10.7998,11.7111
1790276446.287,0.397,E,0.1333,0.0166,8,11.8000,10.8958,11.8092
1790276446.383,0.397,,0.1273,0.0137,8,11.9000,10.9918,11.9103
1790276446.495,0.000,,0.1281,0.0141,8,12.0000,11.1038,12.0096
1790276446.704,0.000,,0.1226,0.0113,8,12.2000,11.3118,12.2096
1790276446.897,0.397,,0.1238,0.0119,8,12.4000,11.5048,12.4110
1790276447.089,0.397,,0.1219,0.0110,8,12.6000,11.6978,12.6102
1790276447.316,1.260,,0.1295,0.0148,8,12.8000,11.9238,12.8095
1790276447.509,2.947,SPACE,0.1302,0.0151,8,13.0000,12.1168,13.0099
1790276447.703,0.437,SPACE,0.1274,0.0137,8,13.2000,12.3098,13.2122
1790276447.910,0.000,,0.1264,0.0132,8,13.4000,12.5178,13.4099
1790276448.136,0.437,,0.1301,0.0150,8,13.6000,12.7428,13.6103
1790276448.233,0.437,,0.1280,0.0140,8,13.7000,12.8388,13.7119
1790276448.424,0.437,,0.1256,0.0128,8,13.9000,13.0328,13.9101
1790276448.713,0.437,E,0.1236,0.0118,8,14.2000,13.3218,14.2102
1790276449.247,4.543,W,0.1369,0.0184,8,14.7000,13.8538,14.7108
1790276449.328,3.301,W,0.1381,0.0190,8,14.8000,13.9338,14.8134
1790276449.840,6.738,W,0.1547,0.0300,8,15.3000,14.4478,15.3115
1790276450.031,1.924,W,0.1481,0.0241,8,15.5000,14.6398,15.5104
1790276450.432,0.127,Q,0.1454,0.0227,8,15.9000,15.0398,15.9102
1790276450.545,0.977,Q,0.1421,0.0210,8,16.0000,15.1518,16.0115
1790276450.738,4.100,Q,0.1394,0.0197,8,16.2000,15.3458,16.2109
1790276451.145,5.825,W,0.1321,0.0160,8,16.6000,15.7468,16.6159
1790276451.333,3.296,,0.1284,0.0142,8,16.8000,15.9408,16.8101
1790276451.639,0.000,,0.1271,0.0136,8,17.1000,16.2478,17.1090
1790276451.831,3.303,Q,0.1253,0.0126,8,17.3000,16.4398,17.3102
1790276452.232,4.807,W,0.1236,0.0118,8,17.7000,16.8408,17.7091
1790276452.441,0.000,W,0.1231,0.0116,8,17.9000,17.0498,17.9098
1790276452.634,4.226,,0.1227,0.0113,8,18.1000,17.2428,18.1101
1790276452.730,1.924,,0.1194,0.0097,8,18.2000,17.3388,18.2103
1790276452.940,0.000,,0.1216,0.0108,8,18.4000,17.5488,18.4099
1790276453.036,1.924,,0.1193,0.0097,8,18.5000,17.6448,18.5102
1790276453.440,2.400,,0.1195,0.0098,8,18.9000,18.0488,18.9100
1790276453.746,1.600,W,0.1180,0.0090,8,19.2000,18.3538,19.2109
1790276453.940,5.783,,0.1173,0.0087,8,19.4000,18.5478,19.4101
1790276454.039,2.403,,0.1146,0.0073,8,19.5000,18.6448,19.5133
1790276454.439,0.000,E,0.1159,0.0080,8,19.9000,19.0468,19.9101
1790276454.648,0.000,,0.1170,0.0085,8,20.1000,19.2548,20.1098
1790276454.866,4.807,,0.1185,0.0093,8,20.3000,19.4718,20.3124
1790276455.043,0.000,,0.1265,0.0132,8,20.5000,19.6508,20.5114
1790276455.238,2.403,,0.1216,0.0108,8,20.7000,19.8448,20.7103
1790276455.445,0.000,,0.1232,0.0116,8,20.9000,20.0528,20.9110
1790276455.540,2.403,,0.1203,0.0101,8,21.0000,20.1488,21.0102
1790276455.734,2.403,,0.1175,0.0088,8,21.2000,20.3418,21.2113
1790276455.943,0.000,,0.1199,0.0100,8,21.4000,20.5508,21.4109
1790276456.137,2.403,,0.1193,0.0097,8,21.6000,20.7438,21.6112
1790276456.383,4.807,,0.1337,0.0168,8,21.8000,20.9858,21.8147
1790276456.543,7.210,,0.1473,0.0236,8,22.0000,21.1478,22.0151
1790276456.732,2.403,Q,0.1410,0.0205,8,22.2000,21.3408,22.2106
1790276456.940,0.000,Q,0.1407,0.0204,8,22.4000,21.5488,22.4101
1790276457.135,2.403,Q,0.1343,0.0171,8,22.6000,21.7428,22.6102
1790276457.343,0.000,Q,0.1323,0.0161,8,22.8000,21.9508,22.8099
1790276457.552,3.446,W,0.1291,0.0145,8,23.0000,22.1608,23.0097
1790276457.634,2.598,W,0.1318,0.0159,8,23.1000,22.2418,23.1121
1790276457.938,2.667,,0.1400,0.0200,8,23.4000,22.5468,23.4104
1790276458.035,0.189,,0.1325,0.0162,8,23.5000,22.6438,23.5104
1790276458.630,0.189,,0.1328,0.0164,8,24.1000,23.2388,24.1102
1790276458.953,0.189,,0.1380,0.0190,8,24.4000,23.5608,24.4107
1790276459.066,0.000,,0.1342,0.0171,8,24.5000,23.6728,24.5112
1790276459.162,0.189,,0.1314,0.0157,8,24.6000,23.7688,24.6109
1790276459.465,0.000,,0.1253,0.0127,8,24.9000,24.0728,24.9109
1790276460.445,0.758,,0.1420,0.0237,8,25.8000,24.7907,25.8105
1790276460.541,0.189,,0.1413,0.0207,8,25.9000,24.8867,25.9110
1790276460.637,0.189,,0.1348,0.0174,8,26.0000,24.9827,26.0112
1790276460.732,0.189,,0.1287,0.0143,8,26.1000,25.0787,26.1103
1790276460.845,0.000,,0.1291,0.0145,8,26.2000,25.1907,26.2106
1790276460.940,0.189,,0.1263,0.0132,8,26.3000,25.2867,26.3100
1790276461.036,0.189,,0.1226,0.0113,8,26.4000,25.3827,26.4102
1790276461.133,0.189,,0.1189,0.0094,8,26.5000,25.4787,26.5103
1790276461.246,0.000,,0.1213,0.0107,8,26.6000,25.5907,26.6106
1790276461.343,0.189,,0.1201,0.0100,8,26.7000,25.6867,26.7110
1790276461.438,0.189,,0.1172,0.0086,8,26.8000,25.7837,26.8112
1790276461.534,0.189,,0.1147,0.0074,8,26.9000,25.8797,26.9113
1790276461.646,0.000,,0.1179,0.0089,8,27.0000,25.9917,27.0096
1790276461.741,0.189,,0.1174,0.0087,8,27.1000,26.0877,27.1100
1790276461.856,0.000,,0.1200,0.0100,8,27.2000,26.2027,27.2094
1790276461.969,0.000,,0.1179,0.0089,8,27.3000,26.3147,27.3091
1790276462.064,0.189,,0.1192,0.0096,8,27.4000,26.4107,27.4098
1790276462.176,0.000,,0.1188,0.0094,8,27.5000,26.5217,27.5094
